entity_a,entity_a_name,entity_b,entity_b_name,co_mentions,sample_headlines
adx,ADX,taqa,TAQA,7,THIS MORNING: ADX waves goodbye to Taqa as it delists + Binghatti eyes USD bns w | Taqa delists from ADX to go private | TAQA to Delist from Abu Dhabi Securities Exchange
aldar,Aldar,masdar_city,Masdar City,5,"Aldar and Mubadala JV Expands Investment in Masdar City with Acquisition of Masd | Aldar, Mubadala buy Masdar City Square in Dh918m deal | Aldar, Mubadala JV acquires Masdar City Square for $250mln"
cfg,CFG,thenational,The National,4,"Erling Haaland to the fore as 10-man City clinch Manchester derby | Man United v Man City ratings: Mainoo 7, Fernandes 5; Guehi 9, Haaland 7 | Manchester City made to fight for victory against Coventry"
etihad,Etihad,khalifa_u,Khalifa Uni,4,Etihad and Khalifa University partner on aviation staff training | Etihad Airways & Khalifa University Strengthen Partnership to Build the UAE’s Sp | Etihad Airways and Khalifa University Conclude Joint Internship Programme
adcb,ADCB,aldar,Aldar,4,"Aldar, ADCB complete Abu Dhabi’s first off-plan mortgage under new framework | Aldar and ADCB complete Abu Dhabi's first off-plan mortgage under new ADREC fram | Aldar, ADCB complete Abu Dhabi's first off-plan mortgage under new ADREC framewo"
adnoc,ADNOC,mbz,H.H. Sheikh Mohamed bin Zayed Al Nahyan,3,Sheikh Khaled bin Mohamed bin Zayed Chairs ADNOC Executive Committee | Khaled bin Mohamed bin Zayed chairs ADNOC board meeting | Khaled bin Mohamed bin Zayed chairs meeting of Executive Committee of ADNOC Boar
lst_esg,ESG,masdar,Masdar,2,"Masdar, Taaleri Open 154MW Serbia Wind Farm | Masdar Starts UK Battery Project Under $1.36B Plan"
openai,OpenAI,thenational,The National,2,OpenAI rules out 2026 IPO as Sam Altman flags AI safety risks | OpenAI unveils 'world's most intelligent model' Astra with cyber security in foc
adports,AD Ports,taqa,TAQA,2,"L’imad locks in October settlement date to buy out AD Ports Group's remaining sh | Abu Dhabi Tightens Control Over AD Ports, Taqa"
lst_fbi,FBI,thenational,The National,2,FBI announces cyber strategy as Treasury 'cracks down' on China-linked criminals | FBI working with private sector and US allies to respond to cyber attacks
etihad,Etihad,thenational,The National,2,Eid Al Etihad: UAE public called on to share their stories to shape 55th Nationa | Eid Al Etihad: UAE public called upon to share their stories to shape 55th Natio
adx,ADX,space42,Space42,2,Space42 gets ADX approval for 2.5% share buyback programme | Space42 wins ADX approval to buy back up to 2.5% of its shares
